"country","totalEmissions","percWorldTotal","pop2022"
"China","11535.2000","30.3400","1448471.4000"
"United States","5107.2600","13.4300","334805.2690"
"India","2597.3600","6.8300","1406631.7760"
"Russia","1792.0200","4.7100","145805.9470"
"Japan","1153.7200","3.0300","125584.8380"
"Germany","702.6000","1.8500","83883.5960"
"Iran","701.9900","1.8500","86022.8370"
"South Korea","651.8700","1.7100","51329.8990"
"Indonesia","625.6600","1.6500","279134.5050"
"Saudi Arabia","614.6100","1.6200","35844.9090"
"Canada","584.8500","1.5400","38388.4190"
"South Africa","494.8600","1.3000","60756.1350"
"Mexico","485","1.2600","131562.7720"
"Brazil","478.1500","1.2600","215353.5930"
"Australia","433.3800","1.1400","26068.7920"
"Turkey","415.7800","1.0900","85561.9760"
"United Kingdom","364.9100","0.9600","68497.9070"
"Italy","331.5600","0.8700","60262.7700"
"Poland","317.6500","0.8400","37739.7850"
"France","314.7400","0.8300","65584.5180"
"Vietnam","305.2500","0.8000","98953.5410"
"Kazakhstan","277.3600","0.7300","19205.0430"
"Taiwan","276.7800","0.7300","23888.5950"
"Thailand","275.0600","0.7200","70078.2030"
"Spain","259.3100","0.6800","46719.1420"
"Egypt","255.3700","0.6700","106156.6920"
"Malaysia","248.8300","0.6500","33181.0720"
"Pakistan","223.6300","0.5900","229488.9940"
"United Arab Emirates","222.6100","0.5900","10081.7850"
"Argentina","199.4100","0.5200","46010.2340"
"Iraq","197.6100","197.6100","42164.9650"
"Ukraine","196.4000","0.5200","43192.1220"
"Algeria","180.5700","0.4700","45350.1480"
"Netherlands","156.4100","0.4100","17211.4470"
"Philippines","150.6400","0.4000","112508.9940"
"Bangladesh","110.1600","0.2900","167885.6890"
"Venezuela","110.0600","0.2900","29266.9910"
"Qatar","106.5300","0.2800","2979.9150"
"Czech Republic","105.6900","0.2800","10736.7840"
"Belgium","104.4100","0.2700","11668.2780"
"Nigeria","100.2200","0.2600","216746.9340"
"Kuwait","98.9500","0.2600","4380.3260"
"Uzbekistan","94.9900","0.2500","34382.0840"
"Oman","92.7800","0.2400","5323.9930"
"Turkmenistan","90.5200","0.2400","6201.9430"
"Chile","89.8900","0.2400","19250.1950"
"Colombia","86.5500","0.2300","51512.7620"
"Romania","78.6300","0.2100","19031.3350"
"Morocco","73.9100","0.1900","37772.7560"
"Austria","72.3600","0.1900","9066.7100"
"Serbia","70.6900","0.1900","8653.0160"
"Israel","68.3300","0.1800","8922.8920"
"Belarus","66.3400","0.1700","9432.8000"
"Greece","65.5700","0.1700","10316.6370"
"Peru","56.2900","0.1500","33684.2080"
