Table 1
Entity,Code,Year,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping
India,IND,1990,566530000,-217000000,24540000,26450000,149110000,64390000,231920000,56410000,36520000,70590000,5120000
India,IND,1991,573910000,-217000000,25190000,29000000,153200000,66930000,258970000,59280000,39080000,75930000,4870000
India,IND,1992,580410000,-217000000,25850000,30060000,156660000,68550000,278570000,58560000,38630000,76440000,4950000
India,IND,1993,587120000,-217000000,26500000,31900000,154530000,68550000,306800000,58880000,35060000,76090000,5400000
India,IND,1994,595120000,-216990000,27160000,34290000,164340000,70810000,319860000,63490000,35270000,81450000,5840000
India,IND,1995,599540000,-216950000,32900000,37750000,156700000,78290000,364890000,65380000,37000000,84920000,6360000
India,IND,1996,607060000,-219430000,38650000,41940000,156920000,83800000,388140000,67270000,36490000,88800000,6630000
India,IND,1997,612430000,-219650000,44390000,46360000,173130000,85800000,402100000,72900000,36970000,93640000,6570000
India,IND,1998,619680000,-219620000,50140000,49880000,182580000,88780000,418140000,70400000,37340000,84940000,6680000
India,IND,1999,623280000,-218030000,55880000,55600000,187800000,93310000,459650000,73440000,37760000,91550000,7030000
India,IND,2000,617940000,-219360000,61620000,57490000,192280000,95090000,491240000,72680000,38180000,91040000,7220000
India,IND,2001,623040000,6170000,62890000,59210000,193980000,94920000,505360000,71320000,37620000,92970000,7290000
India,IND,2002,607050000,5850000,64170000,63090000,207670000,97740000,513580000,74620000,40060000,95960000,7400000
India,IND,2003,618710000,8510000,65440000,66100000,198430000,99530000,536410000,76710000,43540000,104050000,8090000
India,IND,2004,628330000,10350000,66710000,68610000,208250000,108050000,584730000,79040000,45550000,105510000,9070000
India,IND,2005,647720000,8080000,67980000,72540000,232620000,115400000,599570000,79920000,47940000,105990000,9710000
India,IND,2006,662470000,8100000,69250000,76400000,260240000,120650000,638850000,81350000,50110000,106260000,11290000
India,IND,2007,679660000,10380000,70530000,81150000,294800000,142980000,701160000,83340000,52560000,103070000,12750000
India,IND,2008,687340000,8140000,71800000,86190000,308180000,163210000,721880000,85390000,55000000,130340000,12510000
India,IND,2009,681390000,15120000,73070000,98630000,355600000,178710000,789510000,89570000,57660000,128530000,13280000
India,IND,2010,691440000,12800000,74340000,105420000,398010000,192920000,819680000,92710000,60050000,129540000,13970000
India,IND,2011,701810000,-60880000,75450000,111410000,443400000,209300000,860230000,96720000,59040000,113840000,14400000
India,IND,2012,695630000,-55470000,76560000,117190000,431780000,221520000,989120000,97460000,58350000,126400000,13510000
India,IND,2013,698170000,-59500000,77670000,120950000,469250000,226260000,1006040000,99590000,57070000,120980000,13870000
India,IND,2014,699710000,-60440000,78780000,125520000,500410000,235750000,1123440000,103750000,56110000,125330000,14290000
India,IND,2015,700010000,-61480000,79890000,130190000,503780000,257750000,1103230000,107820000,55260000,125720000,15240000
India,IND,2016,703630000,-29860000,80980000,130610000,525100000,269400000,1097810000,111860000,55280000,128450000,16370000
India,IND,2017,709500000,-27100000,82070000,130520000,558990000,291230000,1157770000,113750000,54940000,131140000,17110000
India,IND,2018,718700000,-28360000,83170000,148540000,571380000,305330000,1241340000,118840000,54410000,133280000,18530000
