Entity,Code,Year,Annual CO2 emissions from coal (zero filled),Annual CO2 emissions from gas (zero filled),Annual CO2 emissions from cement (zero filled),Annual CO2 emissions from flaring (zero filled),Annual CO2 emissions from oil (zero filled),Annual CO2 emissions from other industry (zero filled)
India,IND,1750,0,0,0,0,0,0
India,IND,1751,0,0,0,0,0,0
India,IND,1752,0,0,0,0,0,0
India,IND,1753,0,0,0,0,0,0
India,IND,1754,0,0,0,0,0,0
India,IND,1755,0,0,0,0,0,0
India,IND,1756,0,0,0,0,0,0
India,IND,1757,0,0,0,0,0,0
India,IND,1758,0,0,0,0,0,0
India,IND,1759,0,0,0,0,0,0
India,IND,1760,0,0,0,0,0,0
India,IND,1761,0,0,0,0,0,0
India,IND,1762,0,0,0,0,0,0
India,IND,1763,0,0,0,0,0,0
India,IND,1764,0,0,0,0,0,0
India,IND,1765,0,0,0,0,0,0
India,IND,1766,0,0,0,0,0,0
India,IND,1767,0,0,0,0,0,0
India,IND,1768,0,0,0,0,0,0
India,IND,1769,0,0,0,0,0,0
India,IND,1770,0,0,0,0,0,0
India,IND,1771,0,0,0,0,0,0
India,IND,1772,0,0,0,0,0,0
India,IND,1773,0,0,0,0,0,0
India,IND,1774,0,0,0,0,0,0
India,IND,1775,0,0,0,0,0,0
India,IND,1776,0,0,0,0,0,0
India,IND,1777,0,0,0,0,0,0
India,IND,1778,0,0,0,0,0,0
India,IND,1779,0,0,0,0,0,0
India,IND,1780,0,0,0,0,0,0
India,IND,1781,0,0,0,0,0,0
India,IND,1782,0,0,0,0,0,0
India,IND,1783,0,0,0,0,0,0
India,IND,1784,0,0,0,0,0,0
India,IND,1785,0,0,0,0,0,0
India,IND,1786,0,0,0,0,0,0
India,IND,1787,0,0,0,0,0,0
India,IND,1788,0,0,0,0,0,0
India,IND,1789,0,0,0,0,0,0
India,IND,1790,0,0,0,0,0,0
India,IND,1791,0,0,0,0,0,0
India,IND,1792,0,0,0,0,0,0
India,IND,1793,0,0,0,0,0,0
India,IND,1794,0,0,0,0,0,0
India,IND,1795,0,0,0,0,0,0
India,IND,1796,0,0,0,0,0,0
India,IND,1797,0,0,0,0,0,0
India,IND,1798,0,0,0,0,0,0
India,IND,1799,0,0,0,0,0,0
India,IND,1800,0,0,0,0,0,0
India,IND,1801,0,0,0,0,0,0
India,IND,1802,0,0,0,0,0,0
India,IND,1803,0,0,0,0,0,0
India,IND,1804,0,0,0,0,0,0
India,IND,1805,0,0,0,0,0,0
India,IND,1806,0,0,0,0,0,0
India,IND,1807,0,0,0,0,0,0
India,IND,1808,0,0,0,0,0,0
India,IND,1809,0,0,0,0,0,0
India,IND,1810,0,0,0,0,0,0
India,IND,1811,0,0,0,0,0,0
India,IND,1812,0,0,0,0,0,0
India,IND,1813,0,0,0,0,0,0
India,IND,1814,0,0,0,0,0,0
India,IND,1815,0,0,0,0,0,0
India,IND,1816,0,0,0,0,0,0
India,IND,1817,0,0,0,0,0,0
India,IND,1818,0,0,0,0,0,0
India,IND,1819,0,0,0,0,0,0
India,IND,1820,0,0,0,0,0,0
India,IND,1821,0,0,0,0,0,0
India,IND,1822,0,0,0,0,0,0
India,IND,1823,0,0,0,0,0,0
India,IND,1824,0,0,0,0,0,0
India,IND,1825,0,0,0,0,0,0
India,IND,1826,0,0,0,0,0,0
India,IND,1827,0,0,0,0,0,0
India,IND,1828,0,0,0,0,0,0
India,IND,1829,0,0,0,0,0,0
India,IND,1830,0,0,0,0,0,0
India,IND,1831,0,0,0,0,0,0
India,IND,1832,0,0,0,0,0,0
India,IND,1833,0,0,0,0,0,0
India,IND,1834,0,0,0,0,0,0
India,IND,1835,0,0,0,0,0,0
India,IND,1836,0,0,0,0,0,0
India,IND,1837,0,0,0,0,0,0
India,IND,1838,0,0,0,0,0,0
India,IND,1839,0,0,0,0,0,0
India,IND,1840,0,0,0,0,0,0
India,IND,1841,0,0,0,0,0,0
India,IND,1842,0,0,0,0,0,0
India,IND,1843,0,0,0,0,0,0
India,IND,1844,0,0,0,0,0,0
India,IND,1845,0,0,0,0,0,0
India,IND,1846,0,0,0,0,0,0
India,IND,1847,0,0,0,0,0,0
India,IND,1848,0,0,0,0,0,0
India,IND,1849,0,0,0,0,0,0
India,IND,1850,0,0,0,0,0,0
India,IND,1851,0,0,0,0,0,0
India,IND,1852,0,0,0,0,0,0
India,IND,1853,0,0,0,0,0,0
India,IND,1854,0,0,0,0,0,0
India,IND,1855,0,0,0,0,0,0
India,IND,1856,0,0,0,0,0,0
India,IND,1857,0,0,0,0,0,0
India,IND,1858,395050,0,0,0,0,0
India,IND,1859,637391,0,0,0,0,0
India,IND,1860,644031,0,0,0,0,0
India,IND,1861,497962,0,0,0,0,0
India,IND,1862,551078,0,0,0,0,0
India,IND,1863,610834,0,0,0,0,0
India,IND,1864,577636,0,0,0,0,0
India,IND,1865,567677,0,0,0,0,0
India,IND,1866,640711,0,0,0,0,0
India,IND,1867,0,0,0,0,0,0
India,IND,1868,0,0,0,0,0,0
India,IND,1869,0,0,0,0,0,0
India,IND,1870,0,0,0,0,0,0
India,IND,1871,0,0,0,0,0,0
India,IND,1872,0,0,0,0,0,0
India,IND,1873,0,0,0,0,0,0
India,IND,1874,0,0,0,0,0,0
India,IND,1875,0,0,0,0,0,0
India,IND,1876,0,0,0,0,0,0
India,IND,1877,0,0,0,0,0,0
India,IND,1878,1769425,0,0,0,0,0
India,IND,1879,1613397,0,0,0,73280,0
India,IND,1880,1779385,0,0,0,109920,0
India,IND,1881,1742705,0,0,0,99108,0
India,IND,1882,1971930,0,0,0,227168,0
India,IND,1883,2293945,0,0,0,150224,0
India,IND,1884,2436695,0,0,0,296784,0
India,IND,1885,2257428,0,0,0,205184,0
India,IND,1886,2420096,0,0,0,355408,0
India,IND,1887,2725853,0,0,0,344040,0
India,IND,1888,2978202,0,0,0,435587,0
India,IND,1889,3392782,0,0,0,633872,0
India,IND,1890,3781192,0,0,0,655856,0
India,IND,1891,4060051,0,0,0,718144,0
India,IND,1892,4422387,0,0,0,831195,0
India,IND,1893,4465659,0,0,0,1083883,0
India,IND,1894,4916546,0,0,0,707152,0
India,IND,1895,6171033,0,0,0,872448,0
India,IND,1896,6712168,0,0,0,905407,0
India,IND,1897,7090980,0,0,0,1172480,0
India,IND,1898,8034156,0,0,0,1102459,0
India,IND,1899,8883644,0,0,0,1183472,0
India,IND,1900,10669668,0,0,0,1275072,0
India,IND,1901,11569320,0,0,0,1626816,0
India,IND,1902,12944027,0,0,0,1589809,0
India,IND,1903,12970253,0,0,0,1850320,0
India,IND,1904,14328030,0,0,0,2253360,0
India,IND,1905,14679923,0,0,0,2271680,0
India,IND,1906,17060182,0,0,0,2513504,0
India,IND,1907,19440441,0,0,0,2359616,0
India,IND,1908,22268865,0,0,0,2671056,0
India,IND,1909,20698625,0,0,0,3473472,0
India,IND,1910,21007361,0,0,0,2509840,0
India,IND,1911,22175912,0,0,0,2638080,0
India,IND,1912,25645048,0,0,0,2912880,0
India,IND,1913,28264329,0,0,0,3242640,0
India,IND,1914,28712205,0,0,0,3026783,0
India,IND,1915,29827930,0,0,0,3356224,0
India,IND,1916,30087185,0,0,0,3473125,0
India,IND,1917,31760023,0,0,0,3304928,0
India,IND,1918,36138770,0,0,0,3271952,0
India,IND,1919,39458769,0,0,0,3572122,0
